  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      17	   0.002	   2.000	  0.2262	0.036815	 0.03724	 0.02261	0.035484	  0.2262	0.038500	 0.00353	-0.03394	-0.01570	0.035493	-0.038500	0.226208	-0.00273	-0.03971	-0.01570	   10.16	   -8.82	   53.87	   -0.88	   -0.91	   -5.04	  423.33	 1025.80	   15.01	   1.240	   992.2	   40.00	3.554E+5	   0.118
      18	   0.002	  10.000	  0.2539	0.054343	 0.23452	 0.00428	0.012784	  0.2539	0.240390	 0.02730	-0.05920	-0.06638	0.012794	-0.240390	0.253938	-0.01181	-0.06129	-0.06638	    4.96	  -55.11	   60.24	   -3.79	   -1.72	  -21.31	  423.40	 1025.80	   15.11	   1.240	   992.4	   40.01	3.553E+5	   0.118
      19	   0.002	  -7.000	  0.2587	0.046499	-0.19239	-0.01939	0.022695	  0.2587	-0.196628	-0.01960	-0.08407	 0.05041	0.022705	0.196628	0.258721	 0.01239	-0.08776	 0.05041	    7.21	   44.97	   61.18	    3.97	   -2.72	   16.14	  422.38	 1025.81	   15.16	   1.240	   990.0	   39.97	3.548E+5	   0.117
      20	   0.002	   7.000	  0.2416	0.044030	 0.17190	 0.01818	0.022744	  0.2416	0.175983	 0.01658	-0.04223	-0.05280	0.022753	-0.175983	0.241643	-0.01206	-0.04593	-0.05280	    7.24	  -40.33	   57.40	   -3.87	   -1.14	  -16.94	  423.24	 1025.80	   15.22	   1.239	   992.0	   40.01	3.550E+5	   0.118
      21	   0.002	  -9.995	  0.2684	0.072449	-0.25855	-0.02450	0.026465	  0.2684	-0.267197	-0.02886	-0.09159	 0.06881	0.026475	0.267197	0.268375	 0.01462	-0.09590	 0.06881	    8.09	   61.22	   63.51	    4.69	   -3.03	   22.07	  423.15	 1025.84	   15.27	   1.239	   991.8	   40.01	3.549E+5	   0.118
      22	   0.002	   2.000	  0.2184	0.056276	 0.02994	 0.04875	0.055188	  0.2184	0.031881	 0.00351	-0.00585	-0.01160	0.055197	-0.031881	0.218415	-0.00168	-0.01483	-0.01160	   14.70	   -7.32	   52.16	   -0.54	    0.03	   -3.73	  423.91	 1025.85	   15.32	   1.239	   993.6	   40.05	3.552E+5	   0.118
      23	   0.002	  -7.000	  0.2538	0.064029	-0.19337	 0.00077	0.039976	  0.2538	-0.199734	-0.01958	-0.06269	 0.05394	0.039985	0.199734	0.253827	 0.01292	-0.06919	 0.05394	   11.19	   45.77	   60.19	    4.15	   -2.02	   17.31	  423.25	 1025.85	   15.36	   1.239	   992.1	   40.02	3.548E+5	   0.118
      24	   0.002	  10.000	  0.2460	0.070531	 0.22912	 0.03089	0.029664	  0.2460	0.237884	 0.02753	-0.03061	-0.06343	0.029673	-0.237884	0.245973	-0.01117	-0.03543	-0.06343	    8.80	  -54.38	   58.25	   -3.58	   -0.74	  -20.30	  422.24	 1025.83	   15.40	   1.238	   989.7	   39.98	3.543E+5	   0.117
      25	   0.002	   7.000	  0.2329	0.061543	 0.16620	 0.04628	0.040821	  0.2329	0.172457	 0.01684	-0.01194	-0.04927	0.040830	-0.172457	0.232872	-0.01122	-0.01858	-0.04927	   11.36	  -39.43	   55.26	   -3.59	   -0.11	  -15.77	  422.27	 1025.81	   15.42	   1.238	   989.8	   39.98	3.543E+5	   0.117
      26	   0.002	  -1.995	  0.2240	0.057142	-0.05483	 0.03384	0.055189	  0.2240	-0.056786	-0.00723	-0.02217	 0.01785	0.055198	0.056786	0.224045	 0.00201	-0.03115	 0.01785	   14.70	   13.03	   53.44	    0.65	   -0.58	    5.73	  423.82	 1025.80	   15.44	   1.238	   993.4	   40.06	3.549E+5	   0.118
